ticker,date,high_box,low_box,initial_high_box,initial_low_box,start_time,end_time,breakout,breakout_time,confirm,confirm_time,target_05_hit,target_068_hit,target_100_hit,target_200_hit,inverse_breakout,inverse_breakout_time,inv_confirm,inv_confirm_time,inv_target_05_hit,inv_target_068_hit,inv_target_100_hit,inv_target_200_hit
NQ,2025-06-13,21794.5,21642.5,21794.5,21662.0,15:30:00,16:00:00,down,16:25:00,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-06-16,21957.0,21792.25,21957.0,21792.25,15:30:00,16:00:00,up,16:10:00,True,16:15:00,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-06-17,21892.75,21802.5,21892.75,21802.5,15:30:00,16:00:00,up,16:10:00,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-06-18,21815.75,21704.5,21810.5,21704.5,15:30:00,16:00:00,up,16:10:00,True,16:20:00,False,False,False,False,down,21:25:00,False,,False,False,False,False
NQ,2025-06-19,21571.0,21435.5,21571.0,21435.5,15:30:00,16:00:00,none,,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-06-23,21960.0,21758.5,21960.0,21758.5,15:30:00,16:00:00,up,16:05:00,True,16:15:00,True,False,False,False,none,,False,,False,False,False,False
NQ,2025-06-24,22333.25,22260.0,22333.25,22260.0,15:30:00,16:00:00,up,16:40:00,True,17:10:00,True,False,True,False,none,,False,,False,False,False,False
NQ,2025-06-25,22548.25,22485.75,22548.25,22485.75,15:30:00,16:00:00,down,16:10:00,True,17:05:00,False,False,True,False,none,,False,,False,False,False,False
NQ,2025-06-26,22575.0,22476.0,22569.0,22476.0,15:30:00,16:00:00,up,16:30:00,True,17:15:00,True,False,True,False,none,,False,,False,False,False,False
NQ,2025-06-27,22825.5,22674.0,22800.5,22685.25,15:30:00,16:00:00,down,20:25:00,True,20:35:00,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-06-30,22875.5,22781.0,22875.5,22794.25,15:30:00,16:00:00,up,21:20:00,True,21:45:00,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-07-01,22848.25,22776.0,22834.25,22780.0,15:30:00,16:00:00,down,16:25:00,True,16:30:00,True,True,True,True,none,,False,,False,False,False,False
NQ,2025-07-02,22738.0,22651.25,22738.0,22651.25,15:30:00,16:00:00,up,16:05:00,True,16:10:00,True,False,True,False,none,,False,,False,False,False,False
NQ,2025-07-03,23039.5,22930.25,23039.5,22930.25,15:30:00,16:00:00,up,16:05:00,True,17:40:00,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-07-04,22935.0,22888.0,22935.0,22888.0,15:30:00,16:00:00,up,16:30:00,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-07-07,22977.5,22884.5,22977.5,22900.5,15:30:00,16:00:00,down,18:20:00,True,20:15:00,True,False,True,False,none,,False,,False,False,False,False
NQ,2025-07-08,22943.5,22866.5,22943.5,22872.25,15:30:00,16:00:00,down,16:20:00,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-07-09,23112.0,22954.25,23112.0,22978.0,15:30:00,16:00:00,down,16:50:00,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-07-10,23090.0,22901.25,23090.0,22915.5,15:30:00,16:00:00,none,,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-07-11,22972.25,22863.0,22970.0,22863.0,15:30:00,16:00:00,up,16:10:00,True,16:15:00,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-07-14,22989.25,22842.25,22979.25,22842.25,15:30:00,16:00:00,up,16:55:00,True,17:00:00,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-07-15,23222.75,23105.0,23222.75,23120.5,15:30:00,16:00:00,down,16:55:00,True,21:55:00,False,False,True,False,none,,False,,False,False,False,False
NQ,2025-07-16,23089.5,22948.75,23089.5,22957.25,15:30:00,16:00:00,down,17:15:00,True,17:20:00,True,False,False,False,up,21:45:00,False,,False,False,False,False
NQ,2025-07-17,23179.75,23065.75,23175.25,23065.75,15:30:00,16:00:00,up,16:45:00,True,17:00:00,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-07-18,23310.0,23235.75,23310.0,23240.75,15:30:00,16:00:00,down,16:10:00,True,16:25:00,False,False,True,False,none,,False,,False,False,False,False
NQ,2025-07-21,23424.75,23255.25,23402.0,23255.25,15:30:00,16:00:00,none,,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-07-22,23349.75,23108.0,23349.75,23108.0,15:30:00,16:00:00,none,,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-07-23,23263.75,23151.0,23263.75,23154.0,15:30:00,16:00:00,down,16:10:00,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-07-24,23401.0,23334.25,23401.0,23334.25,15:30:00,16:00:00,down,16:05:00,True,16:10:00,False,False,False,False,up,21:45:00,False,,False,False,False,False
NQ,2025-07-25,23429.25,23330.75,23410.5,23330.75,15:30:00,16:00:00,up,18:05:00,True,18:10:00,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-07-28,23529.0,23464.75,23525.0,23464.75,15:30:00,16:00:00,down,17:15:00,False,,False,False,False,False,none,,False,,False,False,False,False
NQ,2025-07-29,23652.5,23544.5,23652.5,23555.75,15:30:00,16:00:00,down,16:50:00,True,17:05:00,True,False,True,False,none,,False,,False,False,False,False
NQ,2025-07-30,23529.0,23450.75,23526.25,23450.75,15:30:00,16:00:00,up,16:50:00,True,19:40:00,True,True,True,True,down,21:45:00,False,,False,False,False,False
